indicator_full_name,indicator,year,geo,numerator,denom,value,blue_bar_label,diff_bar_label,grey_bar_label,summary_sentence,reverse_gap_sentence
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,"Brightwood Park, Crestwood, Petworth",40604.23625,40726.734694,0.996992186,near a branch,more,people,"more people in Brightwood Park, Crestwood, and Petworth would have access to a retail bank location.","A higher share of people have access to a retail bank location in Brightwood Park, Crestwood, and Petworth than in"
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",7385.7344363,15144.308629,0.4876904332,near a branch,more,people,"more people in Lamont Riggs, Queens Chapel, Fort Totten, and Pleasant Hill would have access to a retail bank location.","A higher share of people have access to a retail bank location in Lamont Riggs, Queens Chapel, Fort Totten, and Pleasant Hill than in"
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,"North Michigan Park, Michigan Park, University Heights",12448.243326,13212.283809,0.9421719596,near a branch,more,people,"more people in North Michigan Park, Michigan Park, and University Heights would have access to a retail bank location.","A higher share of people have access to a retail bank location in North Michigan Park, Michigan Park, and University Heights than in"
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,"Edgewood, Bloomingdale, Truxton Circle, Eckington",24069.513664,24098.480905,0.998797964,near a branch,more,people,"more people in Edgewood, Bloomingdale, Truxton Circle, and Eckington would have access to a retail bank location.","A higher share of people have access to a retail bank location in Edgewood, Bloomingdale, Truxton Circle, and Eckington than in"
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,"Brookland, Brentwood, Langdon",14271.254712,14474.908533,0.9859305625,near a branch,more,people,"more people in Brookland, Brentwood, and Langdon would have access to a retail bank location.","A higher share of people have access to a retail bank location in Brookland, Brentwood, and Langdon than in"
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,"Ivy City, Arboretum, Trinidad, Carver Langston",16764.555107,16788.029429,0.9986017226,near a branch,more,people,"more people in Ivy City, Arboretum, Trinidad, and Carver Langston would have access to a retail bank location.","A higher share of people have access to a retail bank location in Ivy City, Arboretum, Trinidad, and Carver Langston than in"
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,"Woodridge, Fort Lincoln, Gateway",7333.4717895,8321.7917519,0.8812371191,near a branch,more,people,"more people in Woodridge, Fort Lincoln, and Gateway would have access to a retail bank location.","A higher share of people have access to a retail bank location in Woodridge, Fort Lincoln, and Gateway than in"
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,"Union Station, Stanton Park, Kingman Park",28657.371099,28668.10271,0.9996256602,near a branch,more,people,"more people in Union Station, Stanton Park, and Kingman Park would have access to a retail bank location.","A higher share of people have access to a retail bank location in Union Station, Stanton Park, and Kingman Park than in"
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,"Capitol Hill, Lincoln Park",28200.543505,29387.791043,0.959600654,near a branch,more,people,more people in Capitol Hill and Lincoln Park would have access to a retail bank location.,A higher share of people have access to a retail bank location in Capitol Hill and Lincoln Park than in
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,"Near Southeast, Navy Yard",4662,4664,0.9995711835,near a branch,more,people,more people in Near Southeast and Navy Yard would have access to a retail bank location.,A higher share of people have access to a retail bank location in Near Southeast and Navy Yard than in
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,Historic Anacostia,5674.1118598,5676.1790695,0.9996358096,near a branch,more,people,more people in Historic Anacostia would have access to a retail bank location.,A higher share of people have access to a retail bank location in Historic Anacostia than in
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,"Eastland Gardens, Kenilworth",501.80122699,2230.9558282,0.2249265632,near a branch,more,people,more people in Eastland Gardens and Kenilworth would have access to a retail bank location.,A higher share of people have access to a retail bank location in Eastland Gardens and Kenilworth than in
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,"Mayfair, Hillbrook, Mahaning Heights",7333.0646523,7336.0646523,0.9995910614,near a branch,more,people,"more people in Mayfair, Hillbrook, and Mahaning Heights would have access to a retail bank location.","A higher share of people have access to a retail bank location in Mayfair, Hillbrook, and Mahaning Heights than in"
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",11378.5897,12874.165603,0.8838312362,near a branch,more,people,"more people in Deanwood, Burrville, Grant Park, Lincoln Heights, and Fairmont Heights would have access to a retail bank location.","A higher share of people have access to a retail bank location in Deanwood, Burrville, Grant Park, Lincoln Heights, and Fairmont Heights than in"
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,"River Terrace, Benning, Greenway, Dupont Park",13460.834336,13638.129743,0.9870000205,near a branch,more,people,"more people in River Terrace, Benning, Greenway, and Dupont Park would have access to a retail bank location.","A higher share of people have access to a retail bank location in River Terrace, Benning, Greenway, and Dupont Park than in"
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,"Capitol View, Marshall Heights, Benning Heights",17345.378446,19222.625119,0.9023418153,near a branch,more,people,"more people in Capitol View, Marshall Heights, and Benning Heights would have access to a retail bank location.","A higher share of people have access to a retail bank location in Capitol View, Marshall Heights, and Benning Heights than in"
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",18576.423819,18759.177191,0.9902579218,near a branch,more,people,"more people in Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, and Fort Dupont would have access to a retail bank location.","A higher share of people have access to a retail bank location in Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, and Fort Dupont than in"
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",5897.90782,5898.8818628,0.9998348767,near a branch,more,people,"more people in Fairfax Village, Naylor Gardens, Hillcrest, and Summit Park would have access to a retail bank location.","A higher share of people have access to a retail bank location in Fairfax Village, Naylor Gardens, Hillcrest, and Summit Park than in"
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",8760.6889401,8762.6889401,0.9997717596,near a branch,more,people,"more people in Woodland/Fort Stanton, Garfield Heights, and Knox Hill would have access to a retail bank location.","A higher share of people have access to a retail bank location in Woodland/Fort Stanton, Garfield Heights, and Knox Hill than in"
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,"Sheridan, Barry Farm, Buena Vista",8049.1992001,8052.1319904,0.9996357747,near a branch,more,people,"more people in Sheridan, Barry Farm, and Buena Vista would have access to a retail bank location.","A higher share of people have access to a retail bank location in Sheridan, Barry Farm, and Buena Vista than in"
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,"Douglas, Shipley Terrace",12873.57958,12877.477477,0.9996973089,near a branch,more,people,more people in Douglas and Shipley Terrace would have access to a retail bank location.,A higher share of people have access to a retail bank location in Douglas and Shipley Terrace than in
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,"Congress Heights, Bellevue, Washington Highlands",29920.03663,31674.834162,0.94459963,near a branch,more,people,"more people in Congress Heights, Bellevue, and Washington Highlands would have access to a retail bank location.","A higher share of people have access to a retail bank location in Congress Heights, Bellevue, and Washington Highlands than in"
